trial_id,pair_id,trial_number,condition,target_word,duration,clue_giver_start,elapsed_duration,success_duration,success_text_raw,time_to_success,clue_giver_leak,clue_giver_leak_time,success,note
108_208_31_1_20250114_163033_leather_ground,108_208,31,ground,leather,8.428843537414966,2.403,6.025843537414966,True,True,3.608,False,,True,
108_208_32_1_20250114_163057_chlorine_ground,108_208,32,ground,chlorine,23.2431746031746,1.447,21.796174603174602,True,True,19.636,False,,True,
108_208_34_1_20250114_163148_movie_board,108_208,34,board,movie,11.122358276643991,1.218,9.904358276643991,True,True,8.036,False,,True,
108_208_35_1_20250114_163156_pasta_board,108_208,35,board,pasta,7.151746031746032,1.274,5.877746031746032,True,True,3.817,False,,True,
108_208_36_1_20250114_163248_balloon_board,108_208,36,board,balloon,51.7340589569161,1.187,50.5470589569161,True,True,41.841,False,,True,
108_208_37_1_20250114_163259_muscle_board,108_208,37,board,muscle,9.125442176870749,1.891,7.234442176870749,True,True,4.851,True,5.293,True,
108_208_38_1_20250114_163310_birthday_board,108_208,38,board,birthday,10.913378684807256,1.026,9.887378684807256,True,True,7.548,False,,True,
108_208_39_1_20250114_163319_beauty_board,108_208,39,board,beauty,8.243083900226758,1.204,7.039083900226758,True,True,4.812,False,,True,
108_208_40_1_20250114_163328_christmas_board,108_208,40,board,christmas,7.337505668934241,1.058,6.279505668934241,True,True,3.923,False,,True,
108_208_41_1_20250114_163344_trumpet_board,108_208,41,board,trumpet,13.25859410430839,2.372,10.88659410430839,True,True,8.547,False,,True,
108_208_42_1_20250114_163352_music_board,108_208,42,board,music,7.337505668934241,1.365,5.97250566893424,True,True,3.6179999999999994,False,,True,
108_208_43_1_20250114_163408_hunger_board,108_208,43,board,hunger,15.85922902494331,1.526,14.33322902494331,True,True,10.112,True,10.066,True,
108_208_45_1_20250114_163506_sushi_board,108_208,45,board,sushi,20.59609977324263,1.319,19.277099773242632,True,True,17.238,False,,True,
108_208_46_1_20250114_163523_jungle_board,108_208,46,board,jungle,16.671927437641724,3.65,13.021927437641724,True,True,10.767,False,,True,
108_208_47_1_20250114_163536_yellow_board,108_208,47,board,yellow,11.633197278911563,3.057,8.576197278911563,True,True,5.7669999999999995,False,,True,
108_208_48_1_20250114_163634_flannel_board,108_208,48,board,flannel,56.42448979591837,1.896,54.52848979591837,True,True,52.069,False,,True,
108_208_49_1_20250114_163641_doughnut_board,108_208,49,board,doughnut,6.130068027210885,1.89,4.240068027210885,True,True,2.1790000000000003,False,,True,
108_208_50_1_20250114_163655_picture_board,108_208,50,board,picture,12.9102947845805,1.368,11.5422947845805,True,True,9.182,False,,True,
108_208_51_1_20250114_163806_spinach_board,108_208,51,board,spinach,69.96172335600907,3.32,66.64172335600908,False,False,,False,,False,
108_208_52_1_20250114_163842_blanket_board,108_208,52,board,blanket,9.148662131519274,2.379,6.769662131519274,True,True,3.764,False,,True,
108_208_53_1_20250114_163852_pillow_board,108_208,53,board,pillow,8.986122448979591,1.122,7.864122448979591,True,True,5.833,False,,True,
108_208_54_1_20250114_163903_soda_board,108_208,54,board,soda,10.286439909297052,1.442,8.844439909297051,True,True,6.5329999999999995,False,,True,
109_209_12_1_20250115_102502_hunger_board,109_209,12,board,hunger,15.673469387755102,1.666,14.007469387755101,True,True,12.046999999999999,False,,True,
109_209_13_1_20250115_102512_siren_board,109_209,13,board,siren,10.077460317460318,1.762,8.315460317460317,True,True,6.116999999999999,False,,True,
109_209_14_1_20250115_102525_birthday_board,109_209,14,board,birthday,11.818956916099774,2.079,9.739956916099773,True,True,7.943,False,,True,
109_209_15_1_20250115_102538_picture_board,109_209,15,board,picture,11.749297052154194,1.287,10.462297052154195,True,True,8.29,False,,True,
109_209_16_1_20250115_102612_tiger_board,109_209,16,board,tiger,32.97233560090703,2.832,30.14033560090703,True,True,28.268,False,,True,
109_209_17_1_20250115_102717_spinach_board,109_209,17,board,spinach,63.43691609977324,2.754,60.682916099773244,False,True,58.377,False,,True,
109_209_18_1_20250115_102728_river_board,109_209,18,board,river,10.00780045351474,1.638,8.36980045351474,True,True,5.933,False,,True,
109_209_19_1_20250115_102741_cologne_board,109_209,19,board,cologne,12.67809523809524,7.746,4.93209523809524,True,True,2.7889999999999997,False,,True,
109_209_20_1_20250115_102756_butter_board,109_209,20,board,butter,13.67655328798186,1.602,12.07455328798186,True,True,10.177,False,,True,
109_209_21_1_20250115_102807_pillow_board,109_209,21,board,pillow,9.682721088435374,1.69,7.992721088435374,True,True,5.948,False,,True,
109_209_23_1_20250115_102858_movie_ground,109_209,23,ground,movie,18.088344671201813,1.96,16.128344671201813,True,True,14.416,False,,True,
109_209_24_1_20250115_102908_muscle_ground,109_209,24,ground,muscle,9.636281179138322,1.346,8.290281179138322,True,True,5.872,False,,True,
109_209_25_1_20250115_102923_blanket_ground,109_209,25,ground,blanket,13.514013605442177,1.909,11.605013605442176,True,True,8.392999999999999,False,,True,
109_209_26_1_20250115_102948_pasta_ground,109_209,26,ground,pasta,24.38095238095238,1.328,23.05295238095238,True,True,20.322,False,,True,
109_209_27_1_20250115_102955_sushi_ground,109_209,27,ground,sushi,6.617687074829932,1.5,5.117687074829932,True,True,2.886,False,,True,
109_209_28_1_20250115_103007_exam_ground,109_209,28,ground,exam,11.029478458049889,1.884,9.145478458049888,True,True,7.118,False,,True,
109_209_29_1_20250115_103118_soda_ground,109_209,29,ground,soda,69.9849433106576,2.336,67.6489433106576,False,False,,False,,False,
109_209_30_1_20250115_103137_yellow_ground,109_209,30,ground,yellow,11.935056689342405,1.649,10.286056689342406,True,True,5.739,False,,True,
109_209_31_1_20250115_103241_hamster_ground,109_209,31,ground,hamster,62.71709750566893,1.795,60.92209750566893,False,True,59.053,False,,True,
109_209_32_1_20250115_103319_bitter_ground,109_209,32,ground,bitter,33.22775510204082,2.715,30.512755102040817,True,True,27.226,False,,True,
109_209_34_1_20250115_103359_beauty_ground,109_209,34,ground,beauty,19.156462585034017,2.732,16.424462585034018,True,True,13.21,False,,True,
109_209_35_1_20250115_103413_traffic_ground,109_209,35,ground,traffic,12.353015873015874,1.876,10.477015873015874,True,True,8.415000000000001,False,,True,
109_209_36_1_20250115_103432_jungle_ground,109_209,36,ground,jungle,18.506303854875284,2.266,16.240303854875286,True,True,14.017000000000001,False,,True,
